"COD_REG","COD_CM","COD_PRO","PRO_COM","COMUNE","eastmost1","eastmost2","westmost1","westmost2","northmost1","northmost2","southmost1","southmost2"
4,0,22,22230,"Predaia",11.2036122247276,46.3420979585485,11.0563670769932,46.3247179595936,11.140228253552,46.3843559336456,11.0620757523196,46.2704977130022
14,0,94,94030,"Monteroduni",14.2163162976041,41.4992153536314,14.1252699953754,41.5073696598591,14.1494878596184,41.5539749607499,14.1652752878647,41.4787749292904
14,0,94,94031,"Pesche",14.3250559446884,41.6225009570289,14.2552330909474,41.6150100871757,14.2824959364199,41.6329012230674,14.2761538947434,41.5965703737353
16,0,110,110006,"Minervino Murge",16.2091074459843,41.062945714905,15.937544592083,41.113577884722,16.0840701003925,41.1751131694366,16.1063829573651,40.9823116017385
11,0,109,109025,"Monte Vidon Combatte",13.6485572073124,43.0398582569185,13.6009583195674,43.0603680362596,13.6074225616881,43.0777891727394,13.6311338823655,43.0328461687798
11,0,109,109026,"Monte Vidon Corrado",13.5064944791105,43.1193052855953,13.4604235504528,43.1207945567349,13.4911340112189,43.1358457625793,13.502751054104,43.1074969785771
11,0,109,109028,"Moresco",13.7766426298025,43.0765521224579,13.7264068256107,43.0864707515194,13.7308499479822,43.0903290013004,13.7431282417722,43.0661511600749
14,0,94,94025,"Macchia d'Isernia",14.1963179463846,41.5612524570776,14.1447881597474,41.563792021689,14.173403986958,41.6201409621067,14.1894113985282,41.5439646476818
11,0,109,109020,"Montelparo",13.5832836807552,43.0111167703103,13.5183908455231,43.0001663943127,13.5441403212641,43.044871176333,13.5536891285877,42.9879834154838
11,0,109,109021,"Monte Rinaldo",13.6012012884518,43.0121023716592,13.5589844962661,43.0301583593814,13.5838769097851,43.05144881629,13.5956091330427,43.0081906648452
16,0,110,110007,"San Ferdinando di Puglia",16.0901733377691,41.320769257006,15.9875878495973,41.3046240222171,16.0489343989949,41.3225052402155,16.0198097354454,41.2293631627722
14,0,94,94026,"Macchiagodena",14.4578643145126,41.5497891839661,14.3810117317876,41.5792953650991,14.394351763029,41.5956876275592,14.4469688130638,41.5182632939888
14,0,94,94027,"Miranda",14.2938313452863,41.642461240295,14.2224647658601,41.6398877832596,14.2593869343107,41.6672964006407,14.2552330909474,41.6150100871757
11,0,109,109022,"Monterubbiano",13.7733110920342,43.0860183504319,13.6775248601798,43.078396088072,13.7208045083394,43.125459687663,13.70121862478,43.0493745623785
16,0,110,110008,"Spinazzola",16.2664246245585,41.005346093119,15.9718114501288,40.9721316575888,16.0404674829401,41.0283607115097,16.1210693087375,40.8977188604205
3,0,108,108029,"Macherio",9.28885856620719,45.6468865563269,9.23649379951227,45.6301784069204,9.27897148426335,45.6480902412062,9.24015156508647,45.6282095334043
6,0,30,30048,"Lestizza",13.1717880837071,45.9704743601275,13.0470764535727,45.9787874496644,13.1349625826343,45.9962350552123,13.1381065191517,45.9397695780178
6,0,30,30010,"Bertiolo",13.1081693366539,45.9502298191445,13.0274106432947,45.9258323337793,13.0723458178913,45.972543073682,13.0466841120389,45.8966977635606
6,0,30,30032,"Dignano",12.9862014312866,46.1202838307608,12.9161022934638,46.0686466909538,12.9365687750272,46.1318041205208,12.9266725822647,46.060560659254
14,0,94,94028,"Montaquila",14.1420601911649,41.5244094992902,14.0724162944433,41.5703111359029,14.097324256192,41.580901602275,14.1284444434547,41.5091559022126
14,0,94,94029,"Montenero Val Cocchiara",14.1151387648151,41.7020577768875,14.0530353074846,41.7185736406368,14.0857221620959,41.7392706749999,14.0793560508203,41.6801513240895
1,0,5,5035,"Cerreto d'Asti",8.04069275785136,45.0526457472885,8.02242016879737,45.0460918464776,8.03057410526846,45.06627582556,8.02544516596669,45.0207817336082
1,0,5,5086,"PiovÃ  Massaia",8.07270174685064,45.0543810326437,8.02534091515919,45.0196245098207,8.04063857436693,45.0688767996282,8.03468099560035,45.0185696053489
11,0,109,109023,"Monte San Pietrangeli",13.6137254561596,43.2049931350243,13.5452849488756,43.1817381987561,13.5647064205015,43.2171819973415,13.5730379322903,43.1688901253934
11,0,109,109024,"Monte Urano",13.7103678699656,43.1927230991164,13.6360200023755,43.201551094712,13.6602051692094,43.2191346342928,13.6801543562513,43.1732818792793
1,0,5,5082,"Passerano Marmorito",8.04063857436693,45.0688767996282,7.98405139103514,45.0651107530516,8.02117544585293,45.0806254502132,8.01802039104456,45.0228924677139
1,0,5,5019,"Capriglio",8.02678743895276,45.0197403634067,7.99405813113373,45.0007689142576,8.02452532666121,45.0246765693277,7.99987045798073,44.9899412127119
14,0,94,94010,"Castelpetroso",14.3625494564073,41.5563352232441,14.2914662756194,41.5504326282494,14.3468308966777,41.5783739558851,14.3363009275128,41.5280268869464
14,0,94,94011,"Castelpizzuto",14.3335021242806,41.5214276485425,14.2703479709439,41.5388239539163,14.2931061789251,41.5473320377215,14.3106282806663,41.5061584399157
1,0,103,103065,"Toceno",8.5194952831932,46.1985649572725,8.44920910748677,46.1674814072126,8.49388833080697,46.2082149273181,8.47452693583701,46.1360104063112
11,0,109,109017,"Montegiorgio",13.5845849546673,43.1519517076282,13.4892522314425,43.1331918529396,13.5458794187255,43.1804676253283,13.5170458894689,43.0951745043164
18,0,102,102031,"Rombiolo",16.0313401940878,38.5953351144174,15.9499555460141,38.615842857875,15.9622544689247,38.6321010335273,16.0112078224062,38.5788560181415
18,0,102,102032,"San Calogero",16.0480390975351,38.5885990190088,15.9878534820072,38.5249591491268,16.0451950956587,38.5944076449541,16.0035226057748,38.516640835047
18,0,102,102039,"Sorianello",16.3053221287891,38.5948425371736,16.2288737960611,38.5937499227676,16.2509235292619,38.6098351849754,16.2906251792134,38.5790002688973
1,0,103,103020,"Cavaglio-Spoccia",8.65095741793645,46.0663178236057,8.59169882996857,46.091816961047,8.64510693867905,46.1235586631584,8.64874931550073,46.0657305501704
18,0,102,102028,"Pizzoni",16.3059131400797,38.603306322614,16.1766216224219,38.641127912128,16.1816392802904,38.6458247689855,16.282931016427,38.597388121947
