cod_istat 	 cod_istat_reg 	 cod_istat_pro 	name                                      	WKT_southernmost                       	WS_EPGS_4326	S_EPGS_4326
1138	1	1	 Lugnacco                                                                       	 POINT(7.7811684 45.4328478)	7.7811684	45.4328478
1139	1	1	 Luserna San Giovanni                                                           	 POINT(7.1998638 44.7618632)	7.1998638	44.7618632
1140	1	1	 Lusernetta                                                                     	 POINT(7.2280147 44.782293)	7.2280147	44.782293
1141	1	1	 Lusigliè                                                                       	 POINT(7.7838834 45.2890178)	7.7838834	45.2890178
1142	1	1	 Macello                                                                        	 POINT(7.438001 44.8336013)	7.438001	44.8336013
1143	1	1	 Maglione                                                                       	 POINT(8.0181161 45.3292398)	8.0181161	45.3292398
1144	1	1	 Marentino                                                                      	 POINT(7.8862 45.0366573)	7.8862	45.0366573
1145	1	1	 Massello                                                                       	 POINT(7.0608289 44.9377911)	7.0608289	44.9377911
1146	1	1	 Mathi                                                                          	 POINT(7.5352807 45.2410744)	7.5352807	45.2410744
1147	1	1	 Mattie                                                                         	 POINT(7.0955914 45.0618052)	7.0955914	45.0618052
1148	1	1	 Mazzè                                                                          	 POINT(7.9259121 45.2475456)	7.9259121	45.2475456
1149	1	1	 Meana di Susa                                                                  	 POINT(7.0689704 45.0648102)	7.0689704	45.0648102
1150	1	1	 Mercenasco                                                                     	 POINT(7.8771676 45.3390667)	7.8771676	45.3390667
1151	1	1	 Meugliano                                                                      	 POINT(7.780006 45.4733722)	7.780006	45.4733722
1152	1	1	 Mezzenile                                                                      	 POINT(7.3698983 45.2574077)	7.3698983	45.2574077
1153	1	1	 Mombello di Torino                                                             	 POINT(7.9103305 45.0168161)	7.9103305	45.0168161
1154	1	1	 Mompantero                                                                     	 POINT(7.0647082 45.1396188)	7.0647082	45.1396188
1155	1	1	 Monastero di Lanzo                                                             	 POINT(7.4499969 45.2883944)	7.4499969	45.2883944
1156	1	1	 Moncalieri                                                                     	 POINT(7.7045457 44.9279336)	7.7045457	44.9279336
1157	1	1	 Moncenisio                                                                     	 POINT(6.9752635 45.1935895)	6.9752635	45.1935895
1158	1	1	 Montaldo Torinese                                                              	 POINT(7.8482463 45.0502246)	7.8482463	45.0502246
1159	1	1	 Montalenghe                                                                    	 POINT(7.8398538 45.307999)	7.8398538	45.307999
1160	1	1	 Montalto Dora                                                                  	 POINT(7.8510477 45.4775069)	7.8510477	45.4775069
1161	1	1	 Montanaro                                                                      	 POINT(7.8347379 45.2052222)	7.8347379	45.2052222
1162	1	1	 Monteu da Po                                                                   	 POINT(8.0123305 45.1411441)	8.0123305	45.1411441
1163	1	1	 Moriondo Torinese                                                              	 POINT(7.9188264 45.0165368)	7.9188264	45.0165368
1164	1	1	 Nichelino                                                                      	 POINT(7.5823112 44.9629797)	7.5823112	44.9629797
1165	1	1	 Noasca                                                                         	 POINT(7.3099931 45.4104872)	7.3099931	45.4104872
1166	1	1	 Nole                                                                           	 POINT(7.5529489 45.2099879)	7.5529489	45.2099879
1167	1	1	 Nomaglio                                                                       	 POINT(7.8619802 45.5326355)	7.8619802	45.5326355
1168	1	1	 None                                                                           	 POINT(7.5336455 44.9088575)	7.5336455	44.9088575
1169	1	1	 Novalesa                                                                       	 POINT(7.0067722 45.1693535)	7.0067722	45.1693535
1170	1	1	 Oglianico                                                                      	 POINT(7.7094728 45.2688661)	7.7094728	45.2688661
1171	1	1	 Orbassano                                                                      	 POINT(7.5827156 44.9784635)	7.5827156	44.9784635
1172	1	1	 Orio Canavese                                                                  	 POINT(7.8417336 45.3047596)	7.8417336	45.3047596
1173	1	1	 Osasco                                                                         	 POINT(7.3395954 44.8367092)	7.3395954	44.8367092
1174	1	1	 Osasio                                                                         	 POINT(7.6188422 44.8594113)	7.6188422	44.8594113
1175	1	1	 Oulx                                                                           	 POINT(6.8554846 44.9868739)	6.8554846	44.9868739
1176	1	1	 Ozegna                                                                         	 POINT(7.7467009 45.3285955)	7.7467009	45.3285955
1177	1	1	 Palazzo Canavese                                                               	 POINT(7.9859843 45.4444407)	7.9859843	45.4444407
1178	1	1	 Pancalieri                                                                     	 POINT(7.577657 44.8057375)	7.577657	44.8057375
1179	1	1	 Parella                                                                        	 POINT(7.7985273 45.4121174)	7.7985273	45.4121174
1180	1	1	 Pavarolo                                                                       	 POINT(7.8452373 45.0590249)	7.8452373	45.0590249
1181	1	1	 Pavone Canavese                                                                	 POINT(7.8497683 45.4128025)	7.8497683	45.4128025
1182	1	1	 Pecco                                                                          	 POINT(7.7711091 45.4457108)	7.7711091	45.4457108
1183	1	1	 Pecetto Torinese                                                               	 POINT(7.7676641 44.9888551)	7.7676641	44.9888551
1184	1	1	 Perosa Argentina                                                               	 POINT(7.1979033 44.9523698)	7.1979033	44.9523698
1185	1	1	 Perosa Canavese                                                                	 POINT(7.8307993 45.3898548)	7.8307993	45.3898548
1186	1	1	 Perrero                                                                        	 POINT(7.1039618 44.8594601)	7.1039618	44.8594601
1187	1	1	 Pertusio                                                                       	 POINT(7.6410641 45.339107)	7.6410641	45.339107
1188	1	1	 Pessinetto                                                                     	 POINT(7.4499444 45.2756342)	7.4499444	45.2756342
1189	1	1	 Pianezza                                                                       	 POINT(7.5636333 45.0881191)	7.5636333	45.0881191
1190	1	1	 Pinasca                                                                        	 POINT(7.2356918 44.927048)	7.2356918	44.927048
1191	1	1	 Pinerolo                                                                       	 POINT(7.3744116 44.8441508)	7.3744116	44.8441508
1192	1	1	 Pino Torinese                                                                  	 POINT(7.7756345 45.0115085)	7.7756345	45.0115085
1193	1	1	 Piobesi Torinese                                                               	 POINT(7.587269 44.8961746)	7.587269	44.8961746
1194	1	1	 Piossasco                                                                      	 POINT(7.4697926 44.9492711)	7.4697926	44.9492711
1195	1	1	 Piscina                                                                        	 POINT(7.4263545 44.9044721)	7.4263545	44.9044721
1196	1	1	 Piverone                                                                       	 POINT(8.0222365 45.4222989)	8.0222365	45.4222989
1197	1	1	 Poirino                                                                        	 POINT(7.8517047 44.8333756)	7.8517047	44.8333756
1198	1	1	 Pomaretto                                                                      	 POINT(7.193549 44.9273702)	7.193549	44.9273702
1199	1	1	 Pont-Canavese                                                                  	 POINT(7.5977221 45.4090227)	7.5977221	45.4090227
1200	1	1	 Porte                                                                          	 POINT(7.2830139 44.8851068)	7.2830139	44.8851068
1201	1	1	 Pragelato                                                                      	 POINT(6.9880449 44.8983723)	6.9880449	44.8983723
1202	1	1	 Prali                                                                          	 POINT(7.0250798 44.8231128)	7.0250798	44.8231128
1203	1	1	 Pralormo                                                                       	 POINT(7.9026281 44.8215344)	7.9026281	44.8215344
1204	1	1	 Pramollo                                                                       	 POINT(7.2111695 44.8756161)	7.2111695	44.8756161
1205	1	1	 Prarostino                                                                     	 POINT(7.2377626 44.8520527)	7.2377626	44.8520527
1206	1	1	 Prascorsano                                                                    	 POINT(7.6170671 45.3476115)	7.6170671	45.3476115
1207	1	1	 Pratiglione                                                                    	 POINT(7.605649 45.3401338)	7.605649	45.3401338
1208	1	1	 Quagliuzzo                                                                     	 POINT(7.7794207 45.4125089)	7.7794207	45.4125089
1209	1	1	 Quassolo                                                                       	 POINT(7.8429094 45.5141853)	7.8429094	45.5141853
1210	1	1	 Quincinetto                                                                    	 POINT(7.7754694 45.5345311)	7.7754694	45.5345311
1211	1	1	 Reano                                                                          	 POINT(7.4393763 45.0403048)	7.4393763	45.0403048
1212	1	1	 Ribordone                                                                      	 POINT(7.5062352 45.4110086)	7.5062352	45.4110086
1213	1	1	 Rivalba                                                                        	 POINT(7.8907264 45.1061004)	7.8907264	45.1061004
1214	1	1	 Rivalta di Torino                                                              	 POINT(7.5105851 44.9832571)	7.5105851	44.9832571
1215	1	1	 Riva Presso Chieri                                                             	 POINT(7.8890422 44.9356209)	7.8890422	44.9356209
1216	1	1	 Rivara                                                                         	 POINT(7.6556724 45.3036975)	7.6556724	45.3036975
1217	1	1	 Rivarolo Canavese                                                              	 POINT(7.7405922 45.2499999)	7.7405922	45.2499999
1218	1	1	 Rivarossa                                                                      	 POINT(7.7062723 45.2412809)	7.7062723	45.2412809
1219	1	1	 Rivoli                                                                         	 POINT(7.5793059 45.0390531)	7.5793059	45.0390531
1220	1	1	 Robassomero                                                                    	 POINT(7.6028848 45.1687659)	7.6028848	45.1687659
1221	1	1	 Rocca Canavese                                                                 	 POINT(7.584785 45.2803284)	7.584785	45.2803284
1222	1	1	 Roletto                                                                        	 POINT(7.3795503 44.9018864)	7.3795503	44.9018864
1223	1	1	 Romano Canavese                                                                	 POINT(7.8596993 45.372437)	7.8596993	45.372437
1224	1	1	 Ronco Canavese                                                                 	 POINT(7.5226064 45.4562997)	7.5226064	45.4562997
1225	1	1	 Rondissone                                                                     	 POINT(7.9891527 45.2311641)	7.9891527	45.2311641
1226	1	1	 Rorà                                                                           	 POINT(7.177852 44.7590114)	7.177852	44.7590114
1227	1	1	 Roure                                                                          	 POINT(7.1271252 44.9599715)	7.1271252	44.9599715
1228	1	1	 Rosta                                                                          	 POINT(7.472794 45.0521755)	7.472794	45.0521755
1229	1	1	 Rubiana                                                                        	 POINT(7.3853305 45.1267126)	7.3853305	45.1267126
1230	1	1	 Rueglio                                                                        	 POINT(7.7475187 45.4510577)	7.7475187	45.4510577
1231	1	1	 Salassa                                                                        	 POINT(7.6758052 45.3467028)	7.6758052	45.3467028
1232	1	1	 Salbertrand                                                                    	 POINT(6.9243896 45.0374011)	6.9243896	45.0374011
1233	1	1	 Salerano Canavese                                                              	 POINT(7.8274638 45.4473879)	7.8274638	45.4473879
1234	1	1	 Salza di Pinerolo                                                              	 POINT(7.0024421 44.9182224)	7.0024421	44.9182224
1235	1	1	 Samone                                                                         	 POINT(7.8355258 45.4363314)	7.8355258	45.4363314
1236	1	1	 San Benigno Canavese                                                           	 POINT(7.8338438 45.2020652)	7.8338438	45.2020652
1237	1	1	 San Carlo Canavese                                                             	 POINT(7.6274381 45.228168)	7.6274381	45.228168
1238	1	1	 San Colombano Belmonte                                                         	 POINT(7.6119266 45.3756395)	7.6119266	45.3756395
1239	1	1	 San Didero                                                                     	 POINT(7.2157946 45.1222132)	7.2157946	45.1222132
1240	1	1	 San Francesco al Campo                                                         	 POINT(7.6873321 45.2059408)	7.6873321	45.2059408
1241	1	1	 Sangano                                                                        	 POINT(7.4222618 45.0090989)	7.4222618	45.0090989
1242	1	1	 San Germano Chisone                                                            	 POINT(7.2277125 44.8619749)	7.2277125	44.8619749
1243	1	1	 San Gillio                                                                     	 POINT(7.5118766 45.1196644)	7.5118766	45.1196644
1244	1	1	 San Giorgio Canavese                                                           	 POINT(7.7929825 45.2772685)	7.7929825	45.2772685
1245	1	1	 San Giorio di Susa                                                             	 POINT(7.1639218 45.0475586)	7.1639218	45.0475586
1246	1	1	 San Giusto Canavese                                                            	 POINT(7.7906083 45.2720585)	7.7906083	45.2720585
