"COD_REG","COD_CM","COD_PRO","PRO_COM","COMUNE","NOME_TED","E_EPGS32632","W_EPGS32632","S_EPGS32632","N_EPGS32632","E_EPGS4326","W_EPGS4326","S_EPGS4326","N_EPGS4326"
1,201,1,1040,"Bruzolo",NA,357052.484537194,359795.118952112,4998169.85404452,5006239.79381572,7.18170239231705,7.21655190403505,45.1229173403628,45.1953839126172
1,201,1,1041,"Buriasco",NA,372305.34779653,378307.36581251,4968443.08492738,4972160.0575233,7.3834599880364,7.4596112409468,44.858973333471,44.8921818908048
1,201,1,1042,"Burolo",NA,415017.97863048,417388.741938979,5035154.09406582,5039376.56155519,7.91260568844544,7.94267220057014,45.4648682350063,45.5029077103917
1,201,1,1060,"Casalborgone",NA,412481.193364339,419803.576502114,4995089.39449859,5000533.3530728,7.88685820972519,7.98027737859553,45.1042293989953,45.1531091033532
1,201,1,1076,"Chianocco",NA,353960.505175892,358835.374565358,4999082.34730243,5006173.29332376,7.1410437482968,7.20327822762935,45.130757293682,45.1945696445279
1,201,1,1077,"Chiaverano",NA,412437.060830522,416390.531364294,5037131.07870023,5042042.04201659,7.87941514996108,7.9297673816628,45.4823413170055,45.5266403900785
1,201,1,1079,"Chiesanuova",NA,392764.583016961,395347.063600148,5029200.13225005,5032469.60865208,7.62910183240998,7.66250436817477,45.4083520473128,45.4376891099454
1,201,1,1089,"Coazze",NA,355405.657469535,368731.962423088,4984985.95341068,4993224.89303315,7.16392177486995,7.33308861670726,45.0042297148169,45.0795910908616
1,201,1,1005,"Alice Superiore",NA,398581.787808221,407464.00345403,5033580.60195066,5039292.05962298,7.70198111359714,7.81634394488145,45.4490693366755,45.4998068502675
1,201,1,1006,"Almese",NA,373020.207909535,378517.480325091,4995166.38243846,4999775.34869465,7.38533054290344,7.45549124360024,45.0993340669941,45.140517090489
1,201,1,1007,"Alpette",NA,387275.748791518,390268.352396982,5027646.64202011,5030467.62237633,7.55939180045459,7.59772205267933,45.3934736190076,45.418900709439
1,201,1,1039,"Brusasco",NA,423633.046421916,428735.32267836,4997057.38679125,5003895.32884087,8.02801657351554,8.09371938083366,45.1230016797257,45.1846130743405
1,201,1,1083,"Ciconio",NA,401787.175466258,404161.563985631,5019118.7104641,5021317.6933529,7.74670093343583,7.77699932264158,45.318778822491,45.338749698463
1,201,1,1062,"Caselette",NA,376347.748107168,381995.423477371,4993963.39214538,4998337.85967651,7.42868311369698,7.49997382948767,45.0884742069111,45.1284949714904
1,201,1,1063,"Caselle Torinese",NA,390250.04675348,399215.886726118,4999635.35520891,5005848.30830854,7.60338082738221,7.7179590675082,45.1429773539718,45.1981289578107
1,201,1,1082,"Chivasso",NA,408295.348890501,418081.557862552,5002661.33630887,5011449.77066395,7.83247649541473,7.95724414018965,45.1723972010661,45.2514126610271
1,201,1,1008,"Alpignano",NA,380963.526244921,386073.923869014,4993352.39829357,4997678.36588572,7.48710643957216,7.55212856778416,45.0839850174216,45.1226937094835
1,201,1,1009,"Andezeno",NA,409119.533439008,412643.602233213,4985926.96252396,4989426.93520541,7.84592139893773,7.89091913870098,45.0211766707128,45.0525992892949
1,201,1,1020,"Banchette",NA,408808.931492699,411132.102191263,5033018.10811656,5036120.58602227,7.83362861971775,7.8634324424395,45.4448933834106,45.4728603243819
1,201,1,1043,"Busano",NA,394124.431425251,395914.156322653,5016649.22616813,5021676.68857415,7.64876835394988,7.67170256224598,45.2955717951841,45.340756814788
1,201,1,1027,"Bollengo",NA,415837.255116524,420028.785387567,5032602.11277629,5038607.56807818,7.92360706747374,7.97692838279195,45.4420261881911,45.4961060669085
1,201,1,1064,"Castagneto Po",NA,410991.672902474,415589.701543131,4999251.86105771,5003376.3301707,7.86726561108791,7.92577297832751,45.1413209556073,45.1785226213373
1,201,1,1066,"Castellamonte",NA,395556.438081525,406345.106912873,5022856.68133878,5039696.05469292,7.66571530492444,7.80327603537356,45.3521437350775,45.5030876241715
1,201,1,1084,"Cintano",NA,395085.252308319,398194.323188236,5029534.6304062,5035363.08810117,7.65829253071592,7.69846313247883,45.4118368002971,45.4639924991789
1,201,1,1021,"Barbania",NA,389041.740032264,394940.695639531,5015063.7366169,5018155.71462733,7.58490819561047,7.65996270389821,45.2805713780953,45.3086452765498
1,201,1,1023,"Barone Canavese",NA,408941.935865243,412169.129056317,5017233.22676305,5021514.19526406,7.83853258074698,7.87918426551243,45.3026972868588,45.3415651161592
1,201,1,1024,"Beinasco",NA,387423.572955787,390637.04505748,4983662.47395953,4987752.02634694,7.57137437633063,7.61216373894589,44.997794864829,45.0344992227153
1,201,1,1026,"Bobbio Pellice",NA,341785.051551972,352454.283955492,4952973.69342769,4968103.07856972,6.9998957923197,7.13428901935368,44.7137549675263,44.8503752533291
